a;b;b-a;(bi-ai)/(bi-1/ai-1);x1;x2;f(x1);f(x2);;1
-1,570796327;1,570796327;3,141592654;3,141592654;-0,000000005;0,000000005;-0,000000005;0,000000005;;2
-1,570796327;0,000000005;1,570796332;0,500000002;-0,785398166;-0,785398156;-0,707106783;-0,707106776;;3
-1,570796327;-0,785398156;0,785398171;0,500000003;-1,178097246;-1,178097236;-0,923879533;-0,923879529;;4
-1,570796327;-1,178097236;0,39269909;0,500000006;-1,374446787;-1,374446777;-0,980785281;-0,980785279;;5
-1,570796327;-1,374446777;0,19634955;0,500000013;-1,472621557;-1,472621547;-0,995184727;-0,995184726;;6
-1,570796327;-1,472621547;0,09817478;0,500000025;-1,521708942;-1,521708932;-0,998795456;-0,998795456;;7
-1,570796327;-1,521708932;0,049087395;0,500000051;-1,546252634;-1,546252624;-0,999698819;-0,999698818;;8
-1,570796327;-1,546252624;0,024543703;0,500000102;-1,558524481;-1,558524471;-0,999924702;-0,999924702;;9
-1,570796327;-1,558524471;0,012271856;0,500000204;-1,564660404;-1,564660394;-0,999981175;-0,999981175;;10
-1,570796327;-1,564660394;0,006135933;0,500000407;-1,567728365;-1,567728355;-0,999995294;-0,999995294;;11
-1,570796327;-1,567728355;0,003067972;0,500000815;-1,569262346;-1,569262336;-0,999998823;-0,999998823;;12
-1,570796327;-1,569262336;0,001533991;0,50000163;-1,570029336;-1,570029326;-0,999999706;-0,999999706;;13
-1,570796327;-1,570029326;0,000767;0,500003259;-1,570412832;-1,570412822;-0,999999926;-0,999999926;;14
-1,570796327;-1,570412822;0,000383505;0,500006519;-1,570604579;-1,570604569;-0,999999982;-0,999999982;;15
-1,570796327;-1,570604569;0,000191758;0,500013038;-1,570700453;-1,570700443;-0,999999995;-0,999999995;;16
-1,570796327;-1,570700443;9,58838E-05;0,500026075;-1,57074839;-1,57074838;-0,999999999;-0,999999999;;17
-1,570796327;-1,57074838;4,79469E-05;0,500052146;-1,570772358;-1,570772348;-1;-1;;18
-1,570796327;-1,570772348;2,39784E-05;0,500104282;-1,570784343;-1,570784333;-1;-1;;19
-1,570796327;-1,570784333;1,19942E-05;0,500208521;-1,570790335;-1,570790325;-1;-1;;20
-1,570796327;-1,570790325;6,00211E-06;0,500416867;-1,570793331;-1,570793321;-1;-1;;21
-1,570796327;-1,570793321;3,00606E-06;0,500833041;-1,570794829;-1,570794819;-1;-1;;22
-1,570796327;-1,570794819;1,50803E-06;0,501663309;-1,570795578;-1,570795568;-1;-1;;23
-1,570796327;-1,570795568;7,59014E-07;0,503315585;-1,570795952;-1,570795942;-1;-1;;24
-1,570796327;-1,570795942;3,84507E-07;0,5065875;-1,57079614;-1,57079613;-1;-1;;25
-1,570796327;-1,57079613;1,97254E-07;0,51300365;-1,570796233;-1,570796223;-1;-1;;26
-1,570796327;-1,570796223;1,03627E-07;0,525348116;-1,57079628;-1,57079627;-1;-1;;27
-1,570796327;-1,57079627;5,68134E-08;0,548250086;-1,570796298;-1,570796298;-1;-1;;28
