i;a;b;b-a;(bi-ai)/(bi-1/ai-1);x1;x2;f(x1);f(x2)
1;-1,570796327;1,570796327;3,141592654;3,141592654;-0,370814712;0,370814712;-0,36237489;0,36237489
2;-1,570796327;0,370814712;1,941611039;0,618033989;-0,829166903;-0,370814712;-0,737368878;-0,36237489
3;-1,570796327;-0,370814712;1,199981615;0,618033989;-1,112444136;-0,829166903;-0,896782822;-0,737368878
4;-1,570796327;-0,829166903;0,741629424;0,618033989;-1,287519094;-1,112444136;-0,960144597;-0,896782822
5;-1,570796327;-1,112444136;0,458352191;0,618033989;-1,395721369;-1,287519094;-0,984713485;-0,960144597
6;-1,570796327;-1,287519094;0,283277233;0,618033989;-1,462594052;-1,395721369;-0,994151843;-0,984713485
7;-1,570796327;-1,395721369;0,175074958;0,618033989;-1,503923643;-1,462594052;-0,997764855;-0,994151843
8;-1,570796327;-1,462594052;0,108202275;0,618033989;-1,529466736;-1,503923643;-0,999146054;-0,997764855
9;-1,570796327;-1,503923643;0,066872683;0,618033989;-1,545253235;-1,529466736;-0,999673793;-0,999146054
10;-1,570796327;-1,529466736;0,041329591;0,618033989;-1,555009828;-1,545253235;-0,999875396;-0,999673793
11;-1,570796327;-1,545253235;0,025543092;0,618033989;-1,561039734;-1,555009828;-0,999952405;-0,999875396
12;-1,570796327;-1,555009828;0,015786499;0,618033989;-1,564766421;-1,561039734;-0,99998182;-0,999952405
13;-1,570796327;-1,561039734;0,009756593;0,618033989;-1,56706964;-1,564766421;-0,999993056;-0,99998182
14;-1,570796327;-1,564766421;0,006029906;0,618033989;-1,568493108;-1,56706964;-0,999997348;-0,999993056
15;-1,570796327;-1,56706964;0,003726687;0,618033989;-1,569372859;-1,568493108;-0,999998987;-0,999997348
16;-1,570796327;-1,568493108;0,002303219;0,618033989;-1,569916575;-1,569372859;-0,999999613;-0,999998987
17;-1,570796327;-1,569372859;0,001423468;0,618033989;-1,57025261;-1,569916575;-0,999999852;-0,999999613
18;-1,570796327;-1,569916575;0,000879751;0,618033988;-1,570460292;-1,57025261;-0,999999944;-0,999999852
19;-1,570796327;-1,57025261;0,000543716;0,61803399;-1,570588646;-1,570460292;-0,999999978;-0,999999944
20;-1,570796327;-1,570460292;0,000336035;0,618033985;-1,570667973;-1,570588646;-0,999999992;-0,999999978
21;-1,570796327;-1,570588646;0,000207681;0,618033999;-1,570717;-1,570667973;-0,999999997;-0,999999992
22;-1,570796327;-1,570667973;0,000128354;0,618033963;-1,5707473;-1,570717;-0,999999999;-0,999999997
23;-1,570796327;-1,570717;7,93271E-05;0,618034056;-1,570766027;-1,5707473;-1;-0,999999999
24;-1,570796327;-1,5707473;4,90269E-05;0,618033813;-1,5707776;-1,570766027;-1;-1
25;-1,570796327;-1,570766027;3,03003E-05;0,618034448;-1,570784753;-1,5707776;-1;-1
26;-1,570796327;-1,5707776;1,87266E-05;0,618032787;-1,570789174;-1,570784753;-1;-1
27;-1,570796327;-1,570784753;1,15737E-05;0,618037135;-1,570791906;-1,570789174;-1;-1
28;-1,570796327;-1,570789174;7,15285E-06;0,618025751;-1,570793595;-1,570791906;-1;-1
29;-1,570796327;-1,570791906;4,42086E-06;0,618055555;-1,570794638;-1,570793595;-1;-1
30;-1,570796327;-1,570793595;2,73199E-06;0,617977529;-1,570795284;-1,570794638;-1;-1
31;-1,570796327;-1,570794638;1,68887E-06;0,618181818;-1,570795681;-1,570795284;-1;-1
32;-1,570796327;-1,570795284;1,04312E-06;0,617647058;-1,570795929;-1,570795681;-1;-1
33;-1,570796327;-1,570795681;6,45744E-07;0,61904762;-1,570796078;-1,570795929;-1;-1
34;-1,570796327;-1,570795929;3,97381E-07;0,615384612;-1,570796178;-1,570796078;-1;-1
35;-1,570796327;-1,570796078;2,48363E-07;0,62500001;-1,570796227;-1,570796178;-1;-1
36;-1,570796327;-1,570796178;1,49018E-07;0,599999976;-1,570796277;-1,570796227;-1;-1
37;-1,570796327;-1,570796227;9,93452E-08;0,666666666;-1,570796277;-1,570796277;-1;-1
