i;x;f(x);x-h;x+h
1;0;0;-0,00000001;0,00000001
2;-0,00000001;-0,00000001;0;-0,00000002
3;-0,00000003;-0,00000003;-0,00000001;-0,00000005
4;-0,00000007;-7E-08;-0,00000003;-0,00000011
5;-0,00000015;-1,5E-07;-7E-08;-0,00000023
6;-0,00000031;-3,1E-07;-0,00000015;-0,00000047
7;-0,00000063;-6,3E-07;-0,00000031;-0,00000095
8;-0,00000127;-1,27E-06;-0,00000063;-0,00000191
9;-0,00000255;-2,55E-06;-0,00000127;-0,00000383
10;-0,00000511;-5,11E-06;-0,00000255;-0,00000767
11;-0,00001023;-1,023E-05;-0,00000511;-0,00001535
12;-0,00002047;-2,047E-05;-1,023E-05;-3,071E-05
13;-0,00004095;-4,095E-05;-0,00002047;-0,00006143
14;-0,00008191;-8,191E-05;-0,00004095;-0,00012287
15;-0,00016383;-0,00016383;-0,00008191;-0,00024575
16;-0,00032767;-0,00032767;-0,00016383;-0,00049151
17;-0,00065535;-0,00065535;-0,00032767;-0,00098303
18;-0,00131071;-0,00131071;-0,00065535;-0,00196607
19;-0,00262143;-0,002621427;-0,00131071;-0,00393215
20;-0,00524287;-0,005242846;-0,00262143;-0,00786431
21;-0,01048575;-0,010485558;-0,00524287;-0,01572863
22;-0,02097151;-0,020969973;-0,01048575;-0,03145727
23;-0,04194303;-0,041930733;-0,02097151;-0,06291455
24;-0,08388607;-0,083787722;-0,04194303;-0,12582911
25;-0,16777215;-0,166986196;-0,08388607;-0,25165823
26;-0,33554431;-0,329283173;-0,16777215;-0,50331647
27;-0,67108863;-0,621838911;-0,33554431;-1,00663295
28;-1,34217727;-0,973980291;-0,67108863;-2,01326591
