"i";"xi";"yi";"f(x, y)";"si1";"si2";"lambdai";"|yi-y(i-1)|";"|yi-y(i-1)|";"|fi-f(i-1)|";angle((xi, yi), si)";"gi1";"gi2";"etai11";"etai12";"etai21";"etai22";
"0";"-0,1";"0,1";"2,02";"1,4000000000000001";"18";"0";"0";"0";"0";0,8630196721348419";"1,4000000000000001";"18";"1";"0";"0";"1";
"1";"-0,10682185312517807";"0,012290459819139204";"1,2251319756420387";"1,4000000000000001";"18";"-0,0048727522322700445";"0,006821853125178063";"0,0877095401808608";"0,7948680243579613";1,533865866318568";"-2,176061577190743";"0,17591030280841835";"0,9612662680864174";"-0,19247689906816118";"-0,19247689906816118";"0,043537639039013865";
"2";"0,06851620349739852";"-0,022890460517752738";"0,9437549030955644";"-2,1256332610310946";"0,42650030382596277";"-0,08248744495911972";"0,1753380566225766";"0,03518092033689194";"0,28137707254647426";3,017179661149553";"-1,1069617039954105";"-5,516986131889932";"1";"0";"0";"1";
"3";"0,07460751924158344";"0,00746804634326723";"0,8567129142335685";"-1,1069617039954105";"-5,516986131889932";"-0,005502733944814209";"0,006091315744184924";"0,030358506861019968";"0,08704198886199588";1,8685785052641255";"-1,9075393316172422";"0,38035288317679683";"0,9815375833087895";"0,13427892539127517";"0,13427892539127517";"0,02337651100575522";
"4";"0,22882824857663991";"0,028404913412321372";"0,6521018300949325";"-1,8212481691995979";"-0,24725100823150145";"-0,08467859127777924";"0,15422072933505648";"0,020936867069054142";"0,20461108413863627";3,1301587699092033";"0,6505133868126893";"-4,791490786866227";"1";"0";"0";"1";
"5";"0,22588995379174595";"0,05004753088388224";"0,59934215690589";"0,6505133868126893";"-4,791490786866227";"-0,004516885961856511";"0,0029382947848939707";"0,02164261747156087";"0,05275967318904251";1,6538921235260293";"-1,4597850483318269";"-0,19574806803097644";"0,8256293565499734";"0,37847768048963365";"0,37847768048963365";"0,17850073960490764";
"6";"0,37369124948614185";"0,11791441652232795";"0,43948512846814897";"-1,279327664904169";"-0,5874372340258387";"-0,11553044599052527";"0,1478012956943959";"0,06786688563844571";"0,15985702843774102";3,016785493725067";"1,995616468588105";"-4,346146684037194";"1";"0";"0";"1";
"7";"0,3669874975051517";"0,13251416046180425";"0,40117383787853345";"1,995616468588105";"-4,346146684037194";"-0,0033592386545762865";"0,006703751980990186";"0,014599743939476292";"0,038311290589615465";1,4868604725576362";"-0,9481165271343175";"-0,43313257265789584";"0,639079351000589";"0,47906170718703234";"0,47906170718703234";"0,36412582674556704";
"8";"0,5061714749607857";"0,23721987480640772";"0,279927434356436";"-0,813418924529735";"-0,6119210782106972";"-0,17110983437728727";"0,13918397745563407";"0,10470571434460345";"0,12124640352209742";2,9348909473301226";"2,8571581532047974";"-3,797937451513922";"1";"0";"0";"1";
"9";"0,4989635250325977";"0,2468011935549678";"0,25150558169512993";"2,8571581532047974";"-3,797937451513922";"-0,002522768968915166";"0,007207949928188026";"0,00958131874856007";"0,02842185266130609";1,3851704794234787";"-0,5702887247022002";"-0,4326811515975968";"0,49172999060557787";"0,49867538207650447";"0,49867538207650447";"0,5107381271906365";
"10";"0,6267979196713536";"0,37700067494916845";"0,16448121922947184";"-0,49619550783051336";"-0,5053757087224365";"-0,2576290849501615";"0,12783439463875587";"0,13019948139420068";"0,08702436246565809";2,8885292502694617";"3,233751887235214";"-3,1749914310336247";"1";"0";"0";"1";
"11";"0,6204390302822479";"0,38324401705621014";"0,1443557246680053";"3,233751887235214";"-3,1749914310336247";"-0,0019664122699723785";"0,00635888938910566";"0,00624334210704168";"0,020125494561466534";1,3295609039596896";"-0,3370811343166924";"-0,34011464827319315";"0,38759846249014873";"0,48597897021540193";"0,48597897021540193";"0,6143452538477284";
"12";"0,7347675601457615";"0,5272504028325476";"0,08630742663480276";"-0,2959406959185653";"-0,3727621624649915";"-0,3863224336506045";"0,11432852986351366";"0,14400638577633754";"0,05804829803320263";2,8642383510567817";"3,182452153852763";"-2,526592922001525";"1";"0";"0";"1";
"13";"0,7297074350554723";"0,5312677063518132";"0,07320332966583212";"3,182452153852763";"-2,526592922001525";"-0,0015900082218559984";"0,0050601250902892235";"0,004017303519265596";"0,013104096968970635";1,3003271033753487";"-0,18879772198639255";"-0,24104688468462587";"0,31586268541798945";"0,46369309416819526";"0,46369309416819526";"0,6857191078509717";
"14";"0,8285208898742074";"0,6770238393743904";"0,0382844263243728";"-0,17140593126643927";"-0,25283465459597476";"-0,5764879551637923";"0,0988134548187351";"0,1457561330225772";"0,03491890334145936";2,8516705164177747";"2,7799111964672143";"-1,884605116711624";"1";"0";"0";"1";
"15";"0,8248086993436576";"0,6795404713002494";"0,030751115501230986";"2,7799111964672143";"-1,884605116711624";"-0,0013353629911873753";"0,0037121905305497345";"0,002516631925859067";"0,0075333108231418165";1,2848958738372365";"-0,09669809901292226";"-0,15378384254536304";"0,266716490367938";"0,44113563677306367";"0,44113563677306367";"0,734617446765139";
"16";"0,905771609469569";"0,8141141116632864";"0,012858198178702979";"-0,09363051090063526";"-0,15562927124721698";"-0,8647064866689951";"0,08096291012591136";"0,13457364036303704";"0,017892917322528026";2,8445658086069754";"2,0970212363735383";"-1,2616193715614177";"1";"0";"0";"1";
"17";"0,903323746146913";"0,8155868062327215";"0,009362861666473654";"2,0970212363735383";"-1,2616193715614177";"-0,0011673049753607415";"0,0024478633226559647";"0,0014726945694351348";"0,003495336512229325";1,2760133782361212";"-0,046297139684065236";"-0,08139682403420778";"0,23352593616116724";"0,4220158036983661";"0,4220158036983661";"0,7676407500611441";
"18";"0,9628750868317196";"0,9237410789138369";"0,002525675840668871";"-0,04516232899959634";"-0,08202164366692052";"-1,3186065024533797";"0,059551340684806574";"0,10815427268111548";"0,006837185825804783";2,838769587939516";"1,2303896564360255";"-0,677470785470935";"1";"0";"0";"1";
"19";"0,961570438914345";"0,9244594373986661";"0,001479336155022704";"1,2303896564360255";"-0,677470785470935";"-0,0010603534502668763";"0,001304647917374616";"0,0007183584848291166";"0,001046339685646167";1,2690390417778772";"-0,015983407242582848";"-0,031654319052010216";"0,21247306450668768";"0,408035518050839";"0,408035518050839";"0,7885875688979144";
"20";"0,994195633403201";"0,9874292418094442";"0,00013283564084920187";"-0,016312129991023494";"-0,031484000360788494";"-2,0000572890731965";"0,032625194488856035";"0,06296980441077818";"0,0013465005141735022";2,8308092192588634";"0,3843657347189968";"-0,19914313370956727";"1";"0";"0";"1";
"21";"0,9938076461868651";"0,9876302612633685";"0,00003839989114953872";"0,3843657347189968";"-0,19914313370956727";"-0,0010094219679066896";"0,0003879872163359504";"0,00020101945392421642";"0,00009443574969966315";1,26030974234728";"-0,0030920670499219316";"-0,004675271221765698";"0,20201574771790543";"0,4005010870216855";"0,4005010870216855";"0,7989921226555127";
"22";"0,9999715792834566";"0,9999079840897955";"0,00000012453780359011637";"-0,0024970974435222426";"-0,004973881092106476";"-2,468439152257109";"0,006163933096591439";"0,012277722826426975";"0,000038275353345948606";2,8214426022950447";"0,014012872626102846";"-0,00703505697094986";"1";"0";"0";"1";
"23";"0,9999575771756727";"0,9999150137423587";"0,000000001801724047198066";"0,014012872626102846";"-0,00703505697094986";"-0,0009992317890472882";"0,000014002107783872518";"0,000007029652563131824";"0,0000001227360795429183";1,2506571178256591";"-0,000027884592111115936";"-0,00002848173654701469";"0,20016840463091434";"0,3991270729050201";"0,3991270729050201";"0,8008300481650534";
"24";"1,0000000096478572";"0,9999999779072704";"0,00000000000017139341086667389";"-0,000016949446455927766";"-0,000033938526079230254";"-2,503472446425258";"0,000042432472184575405";"0,00008496416491163798";"0,000000001801552653790295";2,81937485710065";"0,000016574673497693482";"-0,000008277688801072713";"1";"0";"0";"1";
"25";"0,9999999930859166";"0,9999999861786002";"0,000000000000000047809128767345723";"0,000016574673497693482";"-0,000008277688801072713";"-0,0009992317890472882";"0,00000001656194065197493";"0,000000008271329789872589";"0,00000000000017134560173790655";1,248579988717224";"-0,000000016534936753132";"0,0000000013534062759390508";"0,20016034798155868";"0,3991210613817654";"0,3991210613817654";"0,8008380539317972";
