"i";"xi";"yi";"f(x, y)";"si1";"si2";"lambdai";"|yi-y(i-1)|";"|yi-y(i-1)|";"|fi-f(i-1)|";angle((xi, yi), si)";"gi1";"gi2";
"0";"-0,1";"0,1";"5,210000000000001";"-42,2";"40";"0";"0";"0";"0";0,026757602564332503";"-42,2";"40";
"1";"0,005311363379587444";"0,00017880248380336417";"0,9920398019566683";"-0,9875901026351104";"-1,0030761520941607";"-0,002495529937904916";"0,10531136337958745";"0,09982119751619664";"4,2179601980433326";2,3820667496232213";"-0,9628650940840091";"-1,026512179156816";
"2";"0,9839852512132148";"0,9941989277805579";"0,010688391080933123";"-2,074764811042172";"2,0427353134686133";"-0,9909717454866218";"0,9786738878336273";"0,9940201252967545";"0,9813514108757352";1,5734119280834418";"-2,074764811042172";"2,0427353134686133";
"3";"0,9891628889132822";"0,9891012206505814";"0,0001178232741683158";"-0,0093991519316686";"-0,012275974614896625";"-0,002495529937904916";"0,005177637700067376";"0,005097707129976507";"0,010570567806764807";3,0096080881730694";"-0,009340569633252471";"-0,012333652540164053";
"4";"0,9903902221940373";"0,9907042069953178";"0,00010220647502349128";"-0,08201651586801972";"0,06279696025610626";"-0,13057915114871932";"0,0012273332807551313";"0,0016029863447364278";"0,000015616799144824528";1,7025860965430006";"-0,08201651586801972";"0,06279696025610626";
"5";"0,9905980878781546";"0,9905450520621196";"0,00008867723132515289";"-0,009577907940301578";"-0,009549594423543232";"-0,0025344368986831498";"0,00020786568411734126";"0,00015915493319821497";"0,00001352924369833839";3,1401391733401236";"-0,008196661036691921";"-0,010607163206999282";
"6";"0,999976172607463";"0,9998954139775525";"0,0000006527633751358631";"0,016104071196991754";"-0,016151725982083143";"-0,9791370712436607";"0,00937808472930829";"0,009350361915432913";"0,00008802446795001702";1,5722333459929214";"0,016104071196991754";"-0,016151725982083143";
"7";"0,9999359844156687";"0,9999357210932897";"0,000000004104928904811017";"-0,000075104997972802";"-0,000052926945099847755";"-0,002495529937904916";"0,000040188191794245174";"0,000040307115737125164";"0,000000648658446231052";2,970072019026117";"-0,0000753666928687835";"-0,000052664475802544075";
"8";"0,9999417706352983";"0,9999397986771648";"0,000000003779520801613211";"0,00027793289731903315";"-0,00039439162671239814";"-0,07704173870996353";"0,000005786219629632953";"0,000004077583875099055";"0,00000000032540810319780645";1,7423114665531723";"0,00027793289731903315";"-0,00039439162671239814";
"9";"0,9999410564998705";"0,9999408120477868";"0,000000003480311889634852";"-0,00006045914391746159";"-0,000061005192355818193";"-0,002569452679581161";"0,0000007141354277601454";"0,0000010133706220605445";"0,0000000002992089119783585";3,1370970162397276";"-0,0000689965835078965";"-0,00004889041673727945";
"10";"0,9999997423098478";"1,0000000278899943";"0,00000000000822200622379814";"-0,00005763140961789759";"0,000057116029306136795";"-0,9706688876927855";"0,00005868580997722048";"0,00005921584220750647";"0,0000000034720898834110542";1,5752875857393733";"-0,00005763140961789759";"0,000057116029306136795";
"11";"0,9999998861307559";"0,9999998853552332";"0,000000000000013026348299595922";"-0,00000007289072706094482";"-0,00000015485005060575218";"-0,002495529937904916";"0,00000014382090806512475";"0,0000001425347610677189";"0,000000000008208979875498544";2,79614341596807";"-0,00000007263395218615187";"-0,00000015510452922029572";
