"i";"xi";"yi";"f(x, y)";"si1";"si2";"lambdai";"|yi-y(i-1)|";"|yi-y(i-1)|";"|fi-f(i-1)|";angle((xi, yi), si)";"gi1";"gi2";"etai11";"etai12";"etai21";"etai22";
"0";"7";"7";"176436";"117612";"-8400";"0";"0";"0";"0";0,8566983772872531";"117612";"-8400";"1";"0";"0";"1";
"1";"2,58955";"7,315";"39,642885664748654";"117612";"-8400";"-0,000037500000000000003";"4,41045";"0,315";"176396,35711433526";1,3018578415604338";"-627,8743446664448";"121,8461595000008";"0,0052047156706527264";"0,0716974309864284";"0,0716974309864284";"0,9948325834560834";
"2";"2,5203112180039406";"6,3501462598544975";"2,311678304923132";"5,468149170826399";"76,19955214471639";"-0,012662196994453138";"0,06923878199605944";"0,9648537401455031";"37,33120735982552";0,3061845897497796";"4,877804046409665";"-0,3644751484019366";"1";"0";"0";"1";
"3";"2,519373425445846";"6,350216332796856";"2,3093799997700937";"4,877804046409665";"-0,3644751484019366";"-0,0001922571200425872";"0,0009377925580948005";"0,00007007294235885092";"0,0022983051530385268";1,2676875571642179";"0,041825231138425956";"0,5947751908241372";"0,03804702293423323";"0,1908331921818104";"0,1908331921818104";"0,9621423207718708";
"4";"2,327508998416345";"5,382943914038974";"1,8803014092737822";"0,11509417382386883";"0,5802400248089556";"-1,6670211936454344";"0,19186442702950093";"0,9672724187578817";"0,4290785904963115";0,2122954629919014";"34,63892388712437";"-6,870844734016757";"1";"0";"0";"1";
"5";"2,319796144602724";"5,384473806283382";"1,7427736941971126";"34,63892388712437";"-6,870844734016757";"-0,00022266435986159175";"0,007712853813620947";"0,0015298922444082297";"0,1375277150766696";1,3598119507018749";"-0,16240018000529943";"0,6039307539436933";"0,04431049358237649";"0,20527051219029976";"0,20527051219029976";"0,9559103841865821";
"6";"2,1445085359973897";"4,56792646751822";"1,4059402375736512";"0,11677314305559422";"0,5439677108949234";"-1,5010952349024498";"0,17528760860533457";"0,8165473387651628";"0,3368334566234614";0,2274674213068696";"28,87268238478285";"-6,198078689489606";"1";"0";"0";"1";
"7";"2,136985710176777";"4,569541387316183";"1,2935393557327115";"28,87268238478285";"-6,198078689489606";"-0,0002605516771998056";"0,007522825820612454";"0,0016149197979628898";"0,11240088184093966";1,3448149196909422";"-0,14805554447089975";"0,5666923632876575";"0,05178280282764436";"0,22103517068309383";"0,22103517068309383";"0,9484753632136205";
"8";"1,9711820422047321";"3,8578239371700054";"1,0201159526798484";"0,11759221217721708";"0,5047682625569422";"-1,4099885094615865";"0,16580366797204493";"0,7117174501461776";"0,27342340305286306";0,24349424232896513";"23,810426118026673";"-5,546941268082595";"1";"0";"0";"1";
"9";"1,9639504358551823";"3,859508631744391";"0,9297799604189513";"23,810426118026673";"-5,546941268082595";"-0,0003037159567705023";"0,007231606349549828";"0,0016846945743854886";"0,09033599226089717";1,3289660992136068";"0,03676016783404634";"0,4814634497261494";"0,060702706380720395";"0,2381880986152919";"0,2381880986152919";"0,939599985321619";
