"i";"xi";"yi";"f(x, y)";"si1";"si2";"lambdai";"|yi-y(i-1)|";"|yi-y(i-1)|";"|fi-f(i-1)|";"angle((xi, yi), si)";"gi1";"gi2";"etai11";"etai12";"etai21";"etai22";
"0";"3";"-3";"14404";"14404";"-2400";"0";"0";"0";"0";"0,6202945188567891";"14404";"-2400";"1";"0";"0";"1";
"1";"1,3995555555555543";"-2,733333333333333";"2201,7296441319068";"14404";"-2400";"-0,0001111111111111112";"1,6004444444444457";"0,2666666666666669";"12202,270355868093";"0,9324654582168312";"2627,534850335249";"-938,4178172839497";"0,01530287889810844";"0,12220549600348299";"0,12220549600348299";"0,9848337291402399";
"2";"2,5062482420653";"6,2289675933787585";"2,542445179951725";"-74,47096720445114";"-603,08631883574";"-0,014860726643598615";"1,1066926865097457";"8,962300926712091";"2199,187198951955";"2,8819200134856495";"55,45589881957585";"-10,462531495329813";"1";"0";"0";"1";
"3";"2,5000864755297916";"6,23013009687824";"2,291477724880865";"55,45589881957585";"-10,462531495329813";"-0,0001111111111111112";"0,006161766535508433";"0,0011625034994810913";"0,2509674550708598";"1,3756508886619134";"23,303163460247603";"-4,060457649747029";"0,03831935315207646";"0,1914864283156751";"0,1914864283156751";"0,9618719037871076";
"4";"2,2488414930573675";"5,018736539536506";"1,7082270546986822";"0,11543961751667298";"0,5565994096500626";"-2,1764190481325594";"0,2512449824724241";"1,2113935573417338";"0,5832506701821829";"0,216761479244801";"37,176187328041514";"-7,710304271996726";"1";"0";"0";"1";
"5";"2,244710805576474";"5,019593240011172";"1,5859135385357355";"37,176187328041514";"-7,710304271996726";"-0,0001111111111111112";"0,004130687480893505";"0,0008567004746663036";"0,12231351616294672";"1,3547815963148653";"19,668966179898717";"-3,8266721321221553";"0,04712632020744967";"0,2113795006124427";"0,2113795006124427";"0,9531089018127846";
"6";"2,013630898158826";"4,020501069050327";"1,1444685474248026";"0,11804595404787255";"0,5103809752254818";"-1,9575419528901046";"0,23107990741764797";"0,9990921709608457";"0,4414449911109328";"0,2370268930726728";"29,580437849530718";"-6,8416649939187835";"1";"0";"0";"1";
"7";"2,0103441828422115";"4,021261254049651";"1,0616902352645974";"29,580437849530718";"-6,8416649939187835";"-0,0001111111111111112";"0,0032867153166145266";"0,0007601849993243098";"0,08277831216020526";"1,3344991124152736";"18,28234592590998";"-4,044495887573696";"0,058030335837006675";"0,23321627278404147";"0,23321627278404147";"0,9422594676235039";
"8";"1,7918818581706721";"3,180783435254355";"0,7174201543289089";"0,11768841777856587";"0,45277603275858924";"-1,8562771833892997";"0,21846232467153942";"0,8404778187952954";"0,34427008093568845";"0,25873287938405315";"23,127314444947878";"-6,011431677365131";"1";"0";"0";"1";
"9";"1,789312156565678";"3,1814513721073956";"0,6637636493670571";"23,127314444947878";"-6,011431677365131";"-0,0001111111111111112";"0,0025697016049942107";"0,0006679368530405706";"0,053656504961851814";"1,3127679916478114";"16,026691231946486";"-4,037324305264356";"0,07208622133051945";"0,25798363458320045";"0,25798363458320045";"0,9282739870419953";
