"i";"xi";"yi";"f(x, y)";"si1";"si2";"lambdai";"|yi-y(i-1)|";"|yi-y(i-1)|";"|fi-f(i-1)|";"angle((xi, yi), si)";"gi1";"gi2";
"0";"3";"-3";"14404";"14404";"-2400";"0";"0";"0";"0";"0,6202945188567891";"14404";"-2400";
"1";"1,3995555555555543";"-2,733333333333333";"2201,7296441319068";"3153,38095953833";"-1026,0344975177316";"-0,0001111111111111112";"1,6004444444444457";"0,2666666666666669";"12202,270355868093";"0,7829971579917454";"2627,5348503352493";"-938,4178172839497";
"2";"-0,7026984174699993";"-2,0493103349881787";"649,6326037102641";"-718,2170423108543";"-508,61908018060404";"-0,0006666666666666668";"2,1022539730255536";"0,6840229983451545";"1552,0970404216437";"0,6242774987335835";"-718,2170423108543";"-508,61908018060404";
"3";"0,3746271459962822";"-1,2863817147172725";"203,9461453049393";"95,15218466101267";"-368,47979193791616";"-0,0015";"1,0773255634662815";"0,7629286202709061";"445,6864584053248";"0,030678947968208633";"212,54555189571434";"-285,34544264691846";
"4";"0,056462028536021114";"-0,054277410424865336";"1,220490791060072";"-0,5892313739726758";"-11,49307421825356";"-0,00334375";"0,3181651174602611";"1,2321043042924071";"202,72565451387925";"0,8563466961705548";"-0,5892313739726758";"-11,49307421825356";
"5";"0,05941297944812835";"0,0032814694063438496";"0,8847101151123115";"-1,890926890727809";"-0,3550774850954038";"-0,0050081360946745545";"0,002950950912107238";"0,057558879831209185";"0,3357806759477605";"3,01115008330035";"-1,8752699898553966";"-0,049686544111974484";
"6";"0,2512502193743916";"0,03930458856270806";"0,6173754034213124";"0,8966219885145434";"-4,76441683459437";"-0,10145143150004388";"0,19183723992626325";"0,03602311915636421";"0,2673347116909991";"1,5399589398663636";"0,8966219885145434";"-4,76441683459437";
"7";"0,2474395759232048";"0,05955336010973414";"0,5666270793070358";"-1,2668133935785624";"-0,7210252991937539";"-0,00425";"0,00381064345118681";"0,020248771547026076";"0,050748324114276544";"2,860341243262149";"-1,339535904841155";"-0,33459672466426005";
"8";"0,4262818485275428";"0,16134404512038863";"0,37065504537973665";"2,326278085948431";"-4,07443385273406";"-0,14117491456191095";"0,17884227260433802";"0,10179068501065448";"0,1959720339272994";"1,4138429129170191";"2,326278085948431";"-4,07443385273406";
"9";"0,4197028433157199";"0,17286705336015215";"0,33782287693038554";"-0,5245547245362099";"-0,8052361545293156";"-0,002828125";"0,006579005211822906";"0,011523008239763514";"0,03283216844935111";"2,5388812395676035";"-0,6093694708833591";"-0,6566846654295133";
"10";"0,43705164547296754";"0,19949894147658007";"0,3241100340987866";"-2,6092151460797735";"1,6969601331903117";"-0,03307338842975206";"0,017348802157247663";"0,026631888116427912";"0,01371284283159896";"2,1367385521461024";"-2,6092151460797735";"1,6969601331903117";
"11";"0,4444308320579744";"0,19469972609990122";"0,30945179810875223";"-0,7958228697063723";"-0,44294805526401887";"-0,002828125";"0,007379186585006859";"0,00479921537667885";"0,014658235990034352";"3,046606764084174";"-0,6099913060703073";"-0,5638076767684463";
"12";"0,47375202839497327";"0,21101964776824947";"0,2949501553390998";"1,4908582395980057";"-2,6842673280204177";"-0,03684387249114522";"0,029321196336998857";"0,01631992166834826";"0,014501642769652434";"1,482852564638558";"1,4908582395980057";"-2,6842673280204177";
"13";"0,46953569493611014";"0,2186110913053072";"0,28173562034394023";"-0,6108760065418484";"-0,5543529442358576";"-0,002828125";"0,00421633345886311";"0,0075914435370577436";"0,013214534995159566";"2,840407227143663";"-0,7129693205485645";"-0,3705355027657342";
"14";"0,5778644237508941";"0,3169163924150331";"0,20713551601030375";"3,087726376732942";"-3,4021799643839556";"-0,17733341570907302";"0,108328728814784";"0,0983053011097259";"0,07460010433363659";"1,3354476671842337";"3,087726376732942";"-3,4021799643839556";
"15";"0,5706082667655716";"0,3249115153313354";"0,1844238110020486";"-0,628031310713515";"-0,2191230441160177";"-0,0023500000000000005";"0,007256156985322415";"0,007995122916302298";"0,022711705008255145";"2,959666292376932";"-0,7030579039372706";"-0,13645575397487342";
"16";"0,57627392674376";"0,32688829043819506";"0,18225126841293762";"0,3519694147522623";"-1,0406696412954775";"-0,009021301775147927";"0,0056656599781883124";"0,0019767751068596484";"0,0021725425891109817";"1,7606456832732593";"0,3519694147522623";"-1,0406696412954775";
