"function calls";"iterations";"x";"y";"f(x, y)";
"22";"1";"0,215";"0,036";"3,347";
"18";"1";"0,041";"-0,154";"4,028";
"45";"1";"0,293";"0,122";"3,062";
;
"22";"1";"0,215";"0,036";"3,347";
"22";"1";"0,215";"0,036";"3,347";
"22";"1";"0,215";"0,036";"3,347";
;
"22";"1";"0,215";"0,036";"3,347";
"22";"1";"0,215";"0,036";"3,347";
"22";"1";"0,215";"0,036";"3,347";
;
"22";"1";"0,215";"0,036";"3,347";
"10216";"10000";"1,978";"1,974";"0,001";
"696";"1";"0,215";"0,036";"3,345";
;
"22";"1";"0,215";"0,036";"3,347";
"87";"1";"0,21501";"0,03651";"3,34552";
"184";"1";"0,2150081";"0,0365089";"3,3455060";
