"function calls";"iterations";"x";"y";"f(x, y)";
"269";"2";"0,567";"0,434";"2,143";
"218";"13";"0,563";"0,437";"2,144";
"1682";"996";"0,460";"0,541";"2,406";
;
"269";"2";"0,567";"0,434";"2,143";
"269";"2";"0,567";"0,434";"2,143";
"269";"2";"0,567";"0,434";"2,143";
;
"269";"2";"0,567";"0,434";"2,143";
"346";"2";"0,573";"0,427";"2,143";
"269";"2";"0,567";"0,434";"2,143";
;
"269";"2";"0,567";"0,434";"2,143";
"146";"2";"0,559";"0,441";"2,146";
"928";"2";"0,567";"0,433";"2,143";
;
"269";"2";"0,567";"0,434";"2,143";
"1011";"2";"0,56344";"0,43656";"2,14420";
"2232";"2";"0,5634264";"0,4365736";"2,1442019";
