"function calls";"iterations";"x";"y";"f(x, y)";
"451";"2";"0,098";"-0,098";"3,810";
"213";"12";"0,086";"-0,085";"3,811";
"559";"90";"0,069";"-0,068";"3,823";
;
"451";"2";"0,098";"-0,098";"3,810";
"451";"2";"0,098";"-0,098";"3,810";
"451";"2";"0,098";"-0,098";"3,810";
;
"451";"2";"0,098";"-0,098";"3,810";
"559";"3";"0,087";"-0,087";"3,811";
"451";"2";"0,098";"-0,098";"3,810";
;
"451";"2";"0,098";"-0,098";"3,810";
"280";"2";"0,099";"-0,098";"3,809";
"1065";"2";"0,101";"-0,100";"3,809";
;
"451";"2";"0,098";"-0,098";"3,810";
"1422";"2";"0,09718";"-0,09718";"3,80960";
"2876";"2";"0,0971895";"-0,0971894";"3,8096036";
